node,U1,U2,U3,R1,R2,R3
1,-0.00502509,7.49908e-005,-0.133847,-0.00533599,0.000830047,0
2,-0.00502509,-7.49908e-005,-0.133847,0.00533599,0.000830047,0
3,-0.00332068,6.80902e-005,-0.199767,0.00429931,-0.0014072,0
4,-0.00332068,-6.80902e-005,-0.199767,-0.00429931,-0.0014072,0
5,-0.00187281,6.76475e-005,-0.20644,0.00457299,0.000523086,0
6,-0.00187281,-6.76475e-005,-0.20644,-0.00457299,0.000523086,0
7,-0.00101531,5.89919e-005,-0.145097,0.00425683,0.00257599,0
8,-0.00101531,-5.89919e-005,-0.145097,-0.00425683,0.00257599,0
9,7.82016e-015,-0.000198908,-0.0246919,0.00519536,1.92815e-014,0
10,-1.38739e-015,0.000198908,-0.0246919,-0.00519536,1.151e-014,0
11,0.00101531,5.89919e-005,-0.145097,0.00425683,-0.00257599,0
12,0.00101531,-5.89919e-005,-0.145097,-0.00425683,-0.00257599,0
13,0.00187281,6.76475e-005,-0.20644,0.00457299,-0.000523086,0
14,0.00187281,-6.76475e-005,-0.20644,-0.00457299,-0.000523086,0
15,0.00332068,6.80902e-005,-0.199767,0.00429931,0.0014072,0
16,0.00332068,-6.80902e-005,-0.199767,-0.00429931,0.0014072,0
17,0.00502509,-7.49908e-005,-0.133847,0.00533599,-0.000830047,0
18,0.00502509,7.49908e-005,-0.133847,-0.00533599,-0.000830047,0
19,0.000684276,-0.000413393,-0.000363452,0.00181355,0.0149033,0
20,0.000684276,0.000413393,-0.000363452,-0.00181355,0.0149033,0
21,-0.000684276,0.000413393,-0.000363452,-0.00181355,-0.0149033,0
22,-0.000684276,-0.000413393,-0.000363452,0.00181355,-0.0149033,0
23,-0.00388632,3.74962e-005,-0.156293,-0.00245446,0.000807706,0
24,-0.00379402,-3.91424e-015,-0.159366,-1.33959e-015,0.000729623,0
25,-0.00388632,-3.74962e-005,-0.156293,0.00245446,0.000807706,0
26,-0.00429299,-0.000155362,-0.146804,0.00329606,-0.00388793,0
27,-0.00402378,-5.16657e-005,-0.168521,0.00143002,-0.0050465,0
28,-0.00390386,2.28093e-005,-0.197812,0.000380008,-0.00482309,0
29,-0.00381648,5.16865e-005,-0.216673,-0.000337802,-0.00359847,0
30,-0.0037285,5.86181e-005,-0.233714,-0.00049816,-0.00179335,0
31,-0.00363567,5.93508e-005,-0.234419,-0.000500404,0.000121344,0
32,-0.00354028,6.08822e-005,-0.232709,8.34853e-005,0.00168971,0
33,-0.00344667,6.64177e-005,-0.21729,0.000898501,0.00247338,0
34,-0.00336495,7.46266e-005,-0.20775,0.00258694,0.00209155,0
35,-0.00322859,3.40379e-005,-0.219993,0.00200195,-0.00140078,0
36,-0.00322111,-8.92956e-015,-0.220603,-2.39567e-015,-0.0013831,0
37,-0.00322859,-3.40379e-005,-0.219993,-0.00200195,-0.00140078,0
38,-0.00336495,-7.46266e-005,-0.20775,-0.00258694,0.00209155,0
39,-0.00344667,-6.64177e-005,-0.21729,-0.000898501,0.00247338,0
40,-0.00354028,-6.08822e-005,-0.232709,-8.34853e-005,0.00168971,0
41,-0.00363567,-5.93508e-005,-0.234419,0.000500404,0.000121344,0
42,-0.0037285,-5.86181e-005,-0.233714,0.00049816,-0.00179335,0
43,-0.00381648,-5.16865e-005,-0.216673,0.000337802,-0.00359847,0
44,-0.00390386,-2.28093e-005,-0.197812,-0.000380008,-0.00482309,0
45,-0.00402378,5.16657e-005,-0.168521,-0.00143002,-0.0050465,0
46,-0.00429299,0.000155362,-0.146804,-0.00329606,-0.00388793,0
47,-0.00313785,6.16014e-005,-0.22187,0.00254303,-0.00486404,0
48,-0.00299246,7.00072e-005,-0.244788,0.000790221,-0.00512558,0
49,-0.00285915,7.60758e-005,-0.273453,-4.86586e-005,-0.00413764,0
50,-0.00272856,7.84849e-005,-0.286167,-0.000719488,-0.00228711,0
51,-0.00259815,7.90297e-005,-0.296232,-0.000721665,-5.84012e-006,0
52,-0.00246775,7.84606e-005,-0.286188,-0.000677855,0.00224247,0
53,-0.00233718,7.59558e-005,-0.274047,4.85191e-005,0.00399508,0
54,-0.00220379,6.96355e-005,-0.246136,0.000927908,0.00481982,0
55,-0.00205781,6.08795e-005,-0.225618,0.00277272,0.00433571,0
56,-0.00196879,3.38237e-005,-0.228304,0.0021295,0.000523474,0
57,-0.00197656,-1.04364e-014,-0.228643,-3.50686e-016,0.000523869,0
58,-0.00196879,-3.38237e-005,-0.228304,-0.0021295,0.000523474,0
59,-0.00205781,-6.08795e-005,-0.225618,-0.00277272,0.00433571,0
60,-0.00220379,-6.96355e-005,-0.246136,-0.000927908,0.00481982,0
61,-0.00233718,-7.59558e-005,-0.274047,-4.85191e-005,0.00399508,0
62,-0.00246775,-7.84606e-005,-0.286188,0.000677855,0.00224247,0
63,-0.00259815,-7.90297e-005,-0.296232,0.000721665,-5.84012e-006,0
64,-0.00272856,-7.84849e-005,-0.286167,0.000719488,-0.00228711,0
