node,U1,U2,U3,R1,R2,R3
1,-0.0101072,0.00024882,-0.336695,-0.0157714,0.0048527,0
2,-0.0101072,-0.00024882,-0.336695,0.0157714,0.0048527,0
3,-0.00968919,4.68148e-005,-0.381443,0.0130841,-0.00151768,0
4,-0.00968919,-4.68148e-005,-0.381443,-0.0130841,-0.00151768,0
5,-0.00742664,0.0001603,-0.340105,0.0139333,0.00119975,0
6,-0.00742664,-0.0001603,-0.340105,-0.0139333,0.00119975,0
7,-0.00400708,0.00021864,-0.2526,0.0129648,0.00437683,0
8,-0.00400708,-0.00021864,-0.2526,-0.0129648,0.00437683,0
9,5.60058e-016,-0.000755222,-0.0259878,0.0149406,4.36977e-015,0
10,3.14556e-015,0.000755222,-0.0259878,-0.0149406,9.77957e-015,0
11,0.00400708,0.00021864,-0.2526,0.0129648,-0.00437683,0
12,0.00400708,-0.00021864,-0.2526,-0.0129648,-0.00437683,0
13,0.00742664,0.0001603,-0.340105,0.0139333,-0.00119975,0
14,0.00742664,-0.0001603,-0.340105,-0.0139333,-0.00119975,0
15,0.00968919,4.68148e-005,-0.381443,0.0130841,0.00151768,0
16,0.00968919,-4.68148e-005,-0.381443,-0.0130841,0.00151768,0
17,0.0101072,-0.00024882,-0.336695,0.0157714,-0.0048527,0
18,0.0101072,0.00024882,-0.336695,-0.0157714,-0.0048527,0
19,0.000713694,-0.000485833,-0.000664552,0.00505903,0.0439246,0
20,0.000713694,0.000485833,-0.000664552,-0.00505903,0.0439246,0
21,-0.000713694,0.000485833,-0.000664552,-0.00505903,-0.0439246,0
22,-0.000713694,-0.000485833,-0.000664552,0.00505903,-0.0439246,0
23,-0.00821144,0.000124403,-0.402821,-0.00724742,0.00478371,0
24,-0.00805778,-2.05821e-013,-0.412076,-3.2839e-014,0.00454396,0
25,-0.00821144,-0.000124403,-0.402821,0.00724742,0.00478371,0
26,-0.00909512,-0.00038263,-0.362563,0.00969126,-0.00897102,0
27,-0.00885364,-0.000210082,-0.413852,0.00415417,-0.0122056,0
28,-0.00886062,-8.63138e-005,-0.486292,0.00103714,-0.0113527,0
29,-0.00892137,-3.85919e-005,-0.527147,-0.00106736,-0.00755527,0
30,-0.00898004,-2.69776e-005,-0.561663,-0.00151938,-0.00207697,0
31,-0.00902869,-2.27566e-005,-0.547374,-0.00147997,0.00367039,0
32,-0.00907292,-7.65073e-006,-0.525649,0.000301974,0.00831824,0
33,-0.00913423,3.38927e-005,-0.463514,0.00279432,0.0105524,0
