instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-SUPPORTBEAM-2,12,SupportBeam/B31,0.0,10.0,-30.0,1.9346434e-15,0.0027437578,-0.2950892,1.3744e-15,-0.000126362,-0.0123717,0.28273206820931435,95.80826656739487,95.80743364500046
PART-SUPPORTBEAM-1,12,SupportBeam/B31,0.0,-10.0,-30.0,2.793473e-16,-0.0027437578,-0.2950892,6.82561e-15,0.000126362,-0.0123717,0.28273206820931435,95.80826656739487,95.80743364500046
PART-SUPPORTBEAM-2,181,SupportBeam/B31,0.0,10.0,-26.25,2.9544297e-15,0.002447373,-0.29502523,1.44056e-15,-0.000367725,-0.013413,0.281626300018877,95.45509395470934,95.45205740821851
PART-SUPPORTBEAM-1,181,SupportBeam/B31,0.0,-10.0,-26.25,5.2185048e-17,-0.002447373,-0.29502523,4.68274e-15,0.000367725,-0.013413,0.281626300018877,95.45509395470934,95.45205740821851
PART-SUPPORTBEAM-2,169,SupportBeam/B31,3.84615,10.0,-30.0,0.0006438184,0.002743332,-0.29559714,-0.00192199,-0.0001345,-0.0148175,0.28080611020470214,94.99190420585607,94.94529684424002
PART-SUPPORTBEAM-2,200,SupportBeam/B31,-3.84615,10.0,-30.0,-0.0006438184,0.002743332,-0.29559714,0.00192199,-0.0001345,-0.0148175,0.28080611020470214,94.99190420585607,94.94529684424002
PART-SUPPORTBEAM-1,169,SupportBeam/B31,3.84615,-10.0,-30.0,0.0006438184,-0.002743332,-0.29559714,-0.00192199,0.0001345,-0.0148175,0.28080611020470214,94.99190420585607,94.94529684424002
PART-SUPPORTBEAM-1,200,SupportBeam/B31,-3.84615,-10.0,-30.0,-0.0006438184,-0.002743332,-0.29559714,0.00192199,0.0001345,-0.0148175,0.28080611020470214,94.99190420585607,94.94529684424002
PART-SUPPORTBEAM-2,182,SupportBeam/B31,0.0,10.0,-22.5,3.2918726e-15,0.0021516122,-0.29495582,1.57432e-15,-0.000857422,-0.0144494,0.28052255871504017,95.10410588026826,95.09267791697845
PART-SUPPORTBEAM-1,182,SupportBeam/B31,0.0,-10.0,-22.5,-2.555939e-16,-0.0021516122,-0.29495582,3.35725e-16,0.000857422,-0.0144494,0.28052255871504017,95.10410588026826,95.09267791697845
PART-SUPPORTBEAM-2,183,SupportBeam/B31,0.0,10.0,-18.75,3.0926096e-15,0.001856417,-0.29488096,1.70248e-15,-0.00134712,-0.015481,0.27941832491322394,94.75443513752857,94.73035046637153
PART-SUPPORTBEAM-1,183,SupportBeam/B31,0.0,-10.0,-18.75,-5.7697174e-16,-0.001856417,-0.29488096,-4.00762e-15,0.00134712,-0.015481,0.27941832491322394,94.75443513752857,94.73035046637153
PART-SUPPORTBEAM-2,184,SupportBeam/B31,0.0,10.0,-15.0,2.5022793e-15,0.0015617297,-0.29480067,1.75586e-15,-0.00158848,-0.0165077,0.27831079923814467,94.40510905763344,94.37459955142597
PART-SUPPORTBEAM-1,184,SupportBeam/B31,0.0,-10.0,-15.0,-8.449305e-16,-0.0015617297,-0.29480067,-6.15159e-15,0.00158848,-0.0165077,0.27831079923814467,94.40510905763344,94.37459955142597
PART-SUPPORTBEAM-2,185,SupportBeam/B31,0.0,10.0,-11.25,1.6665194e-15,0.0012674922,-0.29471493,1.44287e-15,-0.00148983,-0.0185541,0.2761745948707149,93.70819482864603,93.6841863252671
PART-SUPPORTBEAM-1,185,SupportBeam/B31,0.0,-10.0,-11.25,-9.924525e-16,-0.0012674922,-0.29471493,-6.52744e-15,0.00148983,-0.0185541,0.2761745948707149,93.70819482864603,93.6841863252671
PART-SUPPORTBEAM-2,170,SupportBeam/B31,7.69231,10.0,-30.0,0.0012876368,0.002742094,-0.29622424,-0.00384398,-0.000156141,-0.0210862,0.2752011524542346,92.89812434499646,92.7645488992902
PART-SUPPORTBEAM-2,201,SupportBeam/B31,-7.69231,10.0,-30.0,-0.0012876368,0.002742094,-0.29622424,0.00384398,-0.000156141,-0.0210862,0.2752011524542346,92.89812434499646,92.7645488992902
PART-SUPPORTBEAM-1,170,SupportBeam/B31,7.69231,-10.0,-30.0,0.0012876368,-0.002742094,-0.29622424,-0.00384398,0.000156141,-0.0210862,0.2752011524542346,92.89812434499646,92.7645488992902
PART-SUPPORTBEAM-1,201,SupportBeam/B31,-7.69231,-10.0,-30.0,-0.0012876368,-0.002742094,-0.29622424,0.00384398,0.000156141,-0.0210862,0.2752011524542346,92.89812434499646,92.7645488992902
PART-SUPPORTBEAM-2,186,SupportBeam/B31,0.0,10.0,-7.5,7.309683e-16,0.00097364635,-0.29462373,7.78979e-16,-0.0012543,-0.0205956,0.2740371868492219,93.01209052830876,92.99661087530463
PART-SUPPORTBEAM-1,186,SupportBeam/B31,0.0,-10.0,-7.5,-9.525197e-16,-0.00097364635,-0.29462373,-7.70579e-15,0.0012543,-0.0205956,0.2740371868492219,93.01209052830876,92.99661087530463
PART-SUPPORTBEAM-2,187,SupportBeam/B31,0.0,10.0,-3.75,-1.5873603e-16,0.0006801343,-0.2945271,9.09171e-17,-0.00094591,-0.0226322,0.2718997621662725,92.3171542459522,92.3090615178484
PART-SUPPORTBEAM-1,187,SupportBeam/B31,0.0,-10.0,-3.75,-6.581144e-16,-0.0006801343,-0.2945271,-9.7229e-15,0.00094591,-0.0226322,0.2718997621662725,92.3171542459522,92.3090615178484
PART-SUPPORTBEAM-2,10,SupportBeam/B31,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,-3.18508e-16,-0.000628666,-0.024664,0.2697629516295297,91.62356527687622,91.62028151591757
PART-FLOOR-1,9,Floor/S4R,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,-3.18508e-16,-0.000628666,-0.024664,0.2697629516295297,91.62356527687622,91.62028151591757
PART-FLOOR-1,10,Floor/S4R,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,-1.2633e-14,0.000628666,-0.024664,0.2697629516295297,91.62356527687622,91.62028151591757
PART-SUPPORTBEAM-1,10,SupportBeam/B31,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,-1.2633e-14,0.000628666,-0.024664,0.2697629516295297,91.62356527687622,91.62028151591757
PART-SUPPORTBEAM-2,141,SupportBeam/B31,-3.33333,10.0,-2.0,0.001307067,0.0005426483,-0.29469514,-0.00112426,-0.000761663,-0.0276009,0.2671084903557464,90.63787420396628,90.62286283053133
PART-SUPPORTBEAM-2,155,SupportBeam/B31,3.33333,10.0,-2.0,-0.001307067,0.0005426483,-0.29469514,0.00112426,-0.000761663,-0.0276009,0.2671084903557464,90.63787420396628,90.62286283053133
