component,count,mean_rel_percent,p50_rel_percent,p90_rel_percent,under_10_percent
Cable/T3D2,40,21.617997393685165,15.50504824167141,43.009475683604386,20.0
Floor/S4R,505,15.933288356634634,5.6299017983187065,46.35025900017537,62.57425742574257
Pier/C3D8R,1680,53.82007483552243,40.857570579613835,103.89743149759892,0.0
RiverBank/C3D8R,1100,26.982938202563627,18.626891162892935,60.002211266321645,17.636363636363637
SupportBeam/B31,686,24.918018353739935,11.076938256889418,74.56956953659495,47.8134110787172
