component,count,mean_rel_percent,p50_rel_percent,p90_rel_percent,under_10_percent
Cable/T3D2,40,28.144839631785185,20.786522192919403,48.924319400757945,0.0
Floor/S4R,505,19.895169936435398,12.475506706547609,46.79077295519159,36.43564356435643
Pier/C3D8R,1680,67.29319770732148,48.42316187483283,130.64458982590878,0.0
RiverBank/C3D8R,1100,28.807874587854574,21.16967491215369,61.90737819836936,16.545454545454547
SupportBeam/B31,686,34.49714582046965,22.08743128166784,77.0360488528546,0.0
