component,count,mean_rel_percent,p50_rel_percent,p90_rel_percent,under_10_percent
Cable/T3D2,40,26.124587796937465,23.40966471662749,29.81795239997304,10.0
Floor/S4R,505,18.02773266628454,11.825704823020287,43.759331088313985,42.37623762376238
Pier/C3D8R,1680,58.65942001291206,37.1081094754533,134.66439441145434,0.0
RiverBank/C3D8R,1100,24.028997999204616,17.319461261370304,54.53871190179541,23.09090909090909
SupportBeam/B31,686,29.947750559053873,24.75401661188294,67.32217688878343,11.078717201166182
