node,U1,U2,U3,R1,R2,R3
1,-0.0131546,0.000217798,-0.145285,-0.0161854,0.00643129,0
2,-0.0131546,-0.000217798,-0.145285,0.0161854,0.00643129,0
3,-0.00849679,0.000188891,-0.212908,0.0130199,-0.00280795,0
4,-0.00849679,-0.000188891,-0.212908,-0.0130199,-0.00280795,0
5,-0.00428417,0.000177111,-0.213727,0.0138139,0.000959452,0
6,-0.00428417,-0.000177111,-0.213727,-0.0138139,0.000959452,0
7,-0.0024331,0.000139255,-0.150476,0.0133164,0.00257412,0
8,-0.0024331,-0.000139255,-0.150476,-0.0133164,0.00257412,0
9,-3.55769e-015,-0.000636364,-0.0248606,0.0143451,1.2183e-014,0
10,-3.17905e-015,0.000636364,-0.0248606,-0.0143451,6.22232e-015,0
11,0.0024331,0.000139255,-0.150476,0.0133164,-0.00257412,0
12,0.0024331,-0.000139255,-0.150476,-0.0133164,-0.00257412,0
13,0.00428417,0.000177111,-0.213727,0.0138139,-0.000959452,0
14,0.00428417,-0.000177111,-0.213727,-0.0138139,-0.000959452,0
15,0.00849679,0.000188891,-0.212908,0.0130199,0.00280795,0
16,0.00849679,-0.000188891,-0.212908,-0.0130199,0.00280795,0
17,0.0131546,-0.000217798,-0.145285,0.0161854,-0.00643129,0
18,0.0131546,0.000217798,-0.145285,-0.0161854,-0.00643129,0
19,0.000891411,-0.00063374,-0.000520182,0.00426355,0.0389486,0
20,0.000891411,0.00063374,-0.000520182,-0.00426355,0.0389486,0
21,-0.000891411,0.00063374,-0.000520182,-0.00426355,-0.0389486,0
22,-0.000891411,-0.00063374,-0.000520182,0.00426355,-0.0389486,0
23,-0.00995003,0.0001089,-0.213443,-0.00744846,0.00636208,0
24,-0.00969029,-1.57854e-013,-0.22277,-9.01487e-015,0.00612495,0
25,-0.00995003,-0.0001089,-0.213443,0.00744846,0.00636208,0
26,-0.0111058,-0.000443988,-0.165324,0.0100748,-0.00802121,0
27,-0.0103595,-0.000152194,-0.212862,0.00445327,-0.0117756,0
28,-0.0100334,5.73647e-005,-0.284707,0.00130811,-0.011379,0
29,-0.00979881,0.000138601,-0.326416,-0.000860737,-0.0079688,0
30,-0.00956245,0.000158113,-0.364139,-0.00133925,-0.00281027,0
31,-0.00931232,0.000160389,-0.353956,-0.00135793,0.00268615,0
32,-0.00905497,0.000165593,-0.337892,0.000394181,0.00715108,0
33,-0.00880361,0.000183474,-0.281748,0.00282887,0.00927069,0
34,-0.00859037,0.000209779,-0.244499,0.00789244,0.00790145,0
35,-0.00820242,9.4426e-005,-0.274098,0.00606769,-0.0027881,0
36,-0.00817852,-4.64492e-013,-0.276037,-2.18572e-014,-0.00273291,0
37,-0.00820242,-9.4426e-005,-0.274098,-0.00606769,-0.0027881,0
38,-0.00859037,-0.000209779,-0.244499,-0.00789244,0.00790145,0
39,-0.00880361,-0.000183474,-0.281748,-0.00282887,0.00927069,0
40,-0.00905497,-0.000165593,-0.337892,-0.000394181,0.00715108,0
41,-0.00931232,-0.000160389,-0.353956,0.00135793,0.00268615,0
42,-0.00956245,-0.000158113,-0.364139,0.00133925,-0.00281027,0
43,-0.00979881,-0.000138601,-0.326416,0.000860737,-0.0079688,0
44,-0.0100334,-5.73647e-005,-0.284707,-0.00130811,-0.011379,0
45,-0.0103595,0.000152194,-0.212862,-0.00445327,-0.0117756,0
46,-0.0111058,0.000443988,-0.165324,-0.0100748,-0.00802121,0
47,-0.0079603,0.000168159,-0.272718,0.00775441,-0.013387,0
48,-0.00754347,0.000195041,-0.335924,0.00249314,-0.0143805,0
49,-0.00716529,0.000214477,-0.417498,-2.13448e-005,-0.0116242,0
50,-0.00679584,0.000222241,-0.452177,-0.0020371,-0.00627843,0
51,-0.00642718,0.000223968,-0.480001,-0.00204254,0.000360947,0
52,-0.00605891,0.000221608,-0.448457,-0.00191488,0.00690286,0
53,-0.00569012,0.000211333,-0.411692,0.000263802,0.0119591,0
