node,U1,U2,U3,R1,R2,R3
1,-0.0107094,0.00018312,-0.140509,-0.0129344,0.00475296,0
2,-0.0107094,-0.00018312,-0.140509,0.0129344,0.00475296,0
3,-0.00694247,0.000149603,-0.208016,0.0104033,-0.0023975,0
4,-0.00694247,-0.000149603,-0.208016,-0.0104033,-0.0023975,0
5,-0.00363829,0.00014344,-0.210908,0.0110426,0.000821323,0
6,-0.00363829,-0.00014344,-0.210908,-0.0110426,0.000821323,0
7,-0.00203669,0.000116997,-0.148664,0.010598,0.00256742,0
8,-0.00203669,-0.000116997,-0.148664,-0.010598,0.00256742,0
9,1.49116e-015,-0.000501164,-0.0247798,0.0115999,4.05283e-014,0
10,1.44484e-015,0.000501164,-0.0247798,-0.0115999,3.26595e-014,0
11,0.00203669,0.000116997,-0.148664,0.010598,-0.00256742,0
12,0.00203669,-0.000116997,-0.148664,-0.010598,-0.00256742,0
13,0.00363829,0.00014344,-0.210908,0.0110426,-0.000821323,0
14,0.00363829,-0.00014344,-0.210908,-0.0110426,-0.000821323,0
15,0.00694247,0.000149603,-0.208016,0.0104033,0.0023975,0
16,0.00694247,-0.000149603,-0.208016,-0.0104033,0.0023975,0
17,0.0107094,-0.00018312,-0.140509,0.0129344,-0.00475296,0
18,0.0107094,0.00018312,-0.140509,-0.0129344,-0.00475296,0
19,0.000581256,-0.000443187,-0.000311225,0.00347778,0.031701,0
20,0.000581256,0.000443187,-0.000311225,-0.00347778,0.031701,0
21,-0.000581256,0.000443187,-0.000311225,-0.00347778,-0.031701,0
22,-0.000581256,-0.000443187,-0.000311225,0.00347778,-0.031701,0
23,-0.00807626,9.15592e-005,-0.194897,-0.00595125,0.00469782,0
24,-0.00786285,-6.87717e-014,-0.202416,-4.65639e-015,0.00450847,0
25,-0.00807626,-9.15592e-005,-0.194897,0.00595125,0.00469782,0
26,-0.00903282,-0.000368968,-0.158361,0.00804186,-0.00678283,0
27,-0.00842658,-0.000129206,-0.198224,0.00354924,-0.00976138,0
28,-0.00816554,4.29887e-005,-0.257282,0.00102983,-0.00941918,0
29,-0.00797971,0.000109748,-0.292223,-0.000701727,-0.00666661,0
30,-0.00779247,0.000125778,-0.323747,-0.00108724,-0.00251555,0
31,-0.00759395,0.000127572,-0.316924,-0.00109934,0.00190543,0
32,-0.00738951,0.00013153,-0.305189,0.000300164,0.00550096,0
33,-0.00718963,0.000145404,-0.261353,0.00225026,0.00721986,0
34,-0.00701943,0.000165879,-0.232445,0.00629935,0.00614742,0
35,-0.00671311,7.4785e-005,-0.256888,0.00484751,-0.00238165,0
36,-0.00669448,-2.0637e-013,-0.258452,-1.08795e-014,-0.00233766,0
37,-0.00671311,-7.4785e-005,-0.256888,-0.00484751,-0.00238165,0
38,-0.00701943,-0.000165879,-0.232445,-0.00629935,0.00614742,0
39,-0.00718963,-0.000145404,-0.261353,-0.00225026,0.00721986,0
40,-0.00738951,-0.00013153,-0.305189,-0.000300164,0.00550096,0
41,-0.00759395,-0.000127572,-0.316924,0.00109934,0.00190543,0
42,-0.00779247,-0.000125778,-0.323747,0.00108724,-0.00251555,0
43,-0.00797971,-0.000109748,-0.292223,0.000701727,-0.00666661,0
44,-0.00816554,-4.29887e-005,-0.257282,-0.00102983,-0.00941918,0
45,-0.00842658,0.000129206,-0.198224,-0.00354924,-0.00976138,0
46,-0.00903282,0.000368968,-0.158361,-0.00804186,-0.00678283,0
