component,count,mean_rel_percent,p50_rel_percent,p90_rel_percent,under_10_percent
Cable/T3D2,40,21.611284831088177,14.633160538172154,36.523246127954465,20.0
Floor/S4R,505,42.79119384242657,42.49357946240468,91.5008336905736,12.673267326732674
Pier/C3D8R,1680,58.77460827459009,39.17667428591661,130.31288876193196,1.9047619047619047
RiverBank/C3D8R,1100,51.129197920294104,49.84611255830334,62.40343408676785,0.18181818181818182
SupportBeam/B31,686,24.433650242931495,11.801153740624464,71.68853073691562,36.734693877551024
