component,count,mean_rel_percent,p50_rel_percent,p90_rel_percent,under_10_percent
Cable/T3D2,40,21.889116089574564,15.211448081005416,43.18136957136793,20.0
Floor/S4R,505,16.13428860992123,6.70788849147284,45.73816482662927,62.57425742574257
Pier/C3D8R,1680,63.55773234537564,44.300558791987214,133.9176342540919,0.0
RiverBank/C3D8R,1100,27.56010833986184,20.355939300432222,59.787185828860466,18.90909090909091
SupportBeam/B31,686,26.543537186361846,13.340851587993008,74.52558552577318,34.40233236151604
