node,U1,U2,U3,R1,R2,R3
1,-0.013075,0.000222138,-0.144165,-0.0161885,0.00643387,0
2,-0.013075,-0.000222138,-0.144165,0.0161885,0.00643387,0
3,-0.00843775,0.000186572,-0.212087,0.0130196,-0.00281597,0
4,-0.00843775,-0.000186572,-0.212087,-0.0130196,-0.00281597,0
5,-0.00427456,0.000175615,-0.213151,0.0138143,0.000955212,0
6,-0.00427456,-0.000175615,-0.213151,-0.0138143,0.000955212,0
7,-0.00242516,0.000138774,-0.15018,0.0133168,0.00256684,0
8,-0.00242516,-0.000138774,-0.15018,-0.0133168,0.00256684,0
9,-1.25018e-014,-0.000634943,-0.0248406,0.0143439,3.9314e-014,0
10,2.7018e-015,0.000634943,-0.0248406,-0.0143439,3.79534e-014,0
11,0.00242516,0.000138774,-0.15018,0.0133168,-0.00256684,0
12,0.00242516,-0.000138774,-0.15018,-0.0133168,-0.00256684,0
13,0.00427456,0.000175615,-0.213151,0.0138143,-0.000955212,0
14,0.00427456,-0.000175615,-0.213151,-0.0138143,-0.000955212,0
15,0.00843775,0.000186572,-0.212087,0.0130196,0.00281597,0
16,0.00843775,-0.000186572,-0.212087,-0.0130196,0.00281597,0
17,0.013075,-0.000222138,-0.144165,0.0161885,-0.00643387,0
18,0.013075,0.000222138,-0.144165,-0.0161885,-0.00643387,0
19,0.000706678,-0.000538417,-0.000396022,0.00422492,0.0389207,0
20,0.000706678,0.000538417,-0.000396022,-0.00422492,0.0389207,0
21,-0.000706678,0.000538417,-0.000396022,-0.00422492,-0.0389207,0
22,-0.000706678,-0.000538417,-0.000396022,0.00422492,-0.0389207,0
23,-0.00985139,0.000111069,-0.212281,-0.00744929,0.00636467,0
24,-0.00959011,-1.2664e-014,-0.22166,1.90794e-015,0.00612759,0
25,-0.00985139,-0.000111069,-0.212281,0.00744929,0.00636467,0
26,-0.0110191,-0.000449671,-0.164152,0.0100755,-0.00802167,0
27,-0.0102735,-0.000156141,-0.211741,0.00445565,-0.0117785,0
28,-0.00995047,5.46655e-005,-0.283568,0.00130835,-0.011384,0
29,-0.00971955,0.000136388,-0.325342,-0.000859007,-0.00797546,0
30,-0.00948687,0.000156015,-0.363069,-0.00133939,-0.0028182,0
