component,count,mean_rel_percent,p50_rel_percent,p90_rel_percent,under_10_percent
Cable/T3D2,40,24.27376570936257,26.0423329487844,31.30522173753813,20.0
Floor/S4R,505,14.665695933978103,5.94815394281113,43.10530475745113,68.51485148514851
Pier/C3D8R,1680,82.27173685940767,49.94596772346506,180.99007537998094,0.0
RiverBank/C3D8R,1100,30.07452100647178,19.5440775163951,65.84236916766388,12.727272727272727
SupportBeam/B31,686,22.46609147452394,11.506218732829655,68.72614420037577,40.816326530612244
