node,U1,U2,U3,R1,R2,R3
76,-0.00245533,0.000135939,-0.203843,0.00812287,0.0134905,0
77,-0.00222062,6.57388e-005,-0.207407,0.006232,0.00240901,0
78,-0.00221555,3.36028e-013,-0.207482,8.52281e-015,0.00239178,0
79,-0.00222062,-6.57388e-005,-0.207407,-0.006232,0.00240901,0
80,-0.00245533,-0.000135939,-0.203843,-0.00812287,0.0134905,0
81,-0.00265281,-0.000130171,-0.266701,-0.00269467,0.0148521,0
82,-0.00285859,-0.000125879,-0.35314,-0.000222006,0.0124289,0
83,-0.00306649,-0.000123968,-0.391246,0.00190255,0.00737088,0
84,-0.00327537,-0.000123654,-0.426324,0.00187755,0.000977218,0
85,-0.00348576,-0.000126352,-0.401098,0.00182802,-0.0053653,0
86,-0.00369616,-0.000137726,-0.373152,-0.000360864,-0.0102646,0
87,-0.00389375,-0.00016692,-0.298325,-0.0029384,-0.0124279,0
88,-0.00403289,-0.000207524,-0.247964,-0.00845463,-0.0107072,0
89,-0.00201688,0.000127053,-0.179766,0.00817125,-0.00870037,0
90,-0.00177586,0.00013274,-0.218793,0.00278395,-0.0101784,0
91,-0.00154287,0.000136974,-0.282457,0.000367351,-0.00794833,0
92,-0.00131149,0.00013935,-0.298522,-0.00172367,-0.00316152,0
93,-0.00108065,0.000142184,-0.313681,-0.00163418,0.00288421,0
94,-0.000853396,0.000146898,-0.269741,-0.0015578,0.00880094,0
95,-0.000638519,0.000149506,-0.226287,0.000706528,0.0131978,0
96,-0.000449494,0.000119263,-0.137596,0.00330822,0.0147813,0
97,-0.000277052,1.78673e-005,-0.0776806,0.00892197,0.012407,0
98,-3.25541e-015,-0.000206506,-0.0933435,0.00668593,2.48149e-014,0
99,-6.00518e-015,3.90913e-013,-0.094284,6.19514e-015,2.43896e-014,0
100,-8.8252e-015,0.000206506,-0.0933435,-0.00668593,2.5643e-014,0
101,-0.000277052,-1.78673e-005,-0.0776806,-0.00892197,0.012407,0
102,-0.000449494,-0.000119263,-0.137596,-0.00330822,0.0147813,0
103,-0.000638519,-0.000149506,-0.226287,-0.000706528,0.0131978,0
104,-0.000853396,-0.000146898,-0.269741,0.0015578,0.00880094,0
105,-0.00108065,-0.000142184,-0.313681,0.00163418,0.00288421,0
106,-0.00131149,-0.00013935,-0.298522,0.00172367,-0.00316152,0
107,-0.00154287,-0.000136974,-0.282457,-0.000367351,-0.00794833,0
108,-0.00177586,-0.00013274,-0.218793,-0.00278395,-0.0101784,0
109,-0.00201688,-0.000127053,-0.179766,-0.00817125,-0.00870037,0
110,0.000277052,1.78673e-005,-0.0776806,0.00892197,-0.012407,0
111,0.000449494,0.000119263,-0.137596,0.00330822,-0.0147813,0
112,0.000638519,0.000149506,-0.226287,0.000706528,-0.0131978,0
113,0.000853396,0.000146898,-0.269741,-0.0015578,-0.00880094,0
114,0.00108065,0.000142184,-0.313681,-0.00163418,-0.00288421,0
115,0.00131149,0.00013935,-0.298522,-0.00172367,0.00316152,0
116,0.00154287,0.000136974,-0.282457,0.000367351,0.00794833,0
117,0.00177586,0.00013274,-0.218793,0.00278395,0.0101784,0
118,0.00201688,0.000127053,-0.179766,0.00817125,0.00870037,0
119,0.00222062,6.57388e-005,-0.207407,0.006232,-0.00240901,0
120,0.00221555,3.79512e-013,-0.207482,1.52313e-014,-0.00239178,0
121,0.00222062,-6.57388e-005,-0.207407,-0.006232,-0.00240901,0
122,0.00201688,-0.000127053,-0.179766,-0.00817125,0.00870037,0
123,0.00177586,-0.00013274,-0.218793,-0.00278395,0.0101784,0
