instance,node,component,x,y,z,aba_U1,aba_U2,aba_U3,stap_U1,stap_U2,stap_U3,abs_vec,rel_vec_percent,rel_mag_percent
PART-SUPPORTBEAM-2,12,SupportBeam/B31,0.0,10.0,-30.0,1.9346434e-15,0.0027437578,-0.2950892,6.96544e-15,-0.000100841,-0.0119983,0.28310519141326773,95.93470531066606,95.93404125870128
PART-SUPPORTBEAM-1,12,SupportBeam/B31,0.0,-10.0,-30.0,2.793473e-16,-0.0027437578,-0.2950892,5.18388e-15,0.000100841,-0.0119983,0.28310519141326773,95.93470531066606,95.93404125870128
PART-SUPPORTBEAM-2,181,SupportBeam/B31,0.0,10.0,-26.25,2.9544297e-15,0.002447373,-0.29502523,5.92019e-15,-0.000343369,-0.0130805,0.28195854130648973,95.56770461402128,95.56493665943691
PART-SUPPORTBEAM-1,181,SupportBeam/B31,0.0,-10.0,-26.25,5.2185048e-17,-0.002447373,-0.29502523,4.23158e-15,0.000343369,-0.0130805,0.28195854130648973,95.56770461402128,95.56493665943691
PART-SUPPORTBEAM-2,169,SupportBeam/B31,3.84615,10.0,-30.0,0.0006438184,0.002743332,-0.29559714,-0.00204686,-0.000108644,-0.0146488,0.2809756987109604,95.04927309690034,94.99628501367538
PART-SUPPORTBEAM-2,200,SupportBeam/B31,-3.84615,10.0,-30.0,-0.0006438184,0.002743332,-0.29559714,0.00204686,-0.000108644,-0.0146488,0.2809756987109604,95.04927309690034,94.99628501367538
PART-SUPPORTBEAM-1,169,SupportBeam/B31,3.84615,-10.0,-30.0,0.0006438184,-0.002743332,-0.29559714,-0.00204686,0.000108644,-0.0146488,0.2809756987109604,95.04927309690034,94.99628501367538
PART-SUPPORTBEAM-1,200,SupportBeam/B31,-3.84615,-10.0,-30.0,-0.0006438184,-0.002743332,-0.29559714,0.00204686,0.000108644,-0.0146488,0.2809756987109604,95.04927309690034,94.99628501367538
PART-SUPPORTBEAM-2,182,SupportBeam/B31,0.0,10.0,-22.5,3.2918726e-15,0.0021516122,-0.29495582,3.80013e-15,-0.00083543,-0.0141572,0.2808145071306128,95.20308363504626,95.19200840602157
PART-SUPPORTBEAM-1,182,SupportBeam/B31,0.0,-10.0,-22.5,-2.555939e-16,-0.0021516122,-0.29495582,2.30429e-15,0.00083543,-0.0141572,0.2808145071306128,95.20308363504626,95.19200840602157
PART-SUPPORTBEAM-2,183,SupportBeam/B31,0.0,10.0,-18.75,3.0926096e-15,0.001856417,-0.29488096,1.68552e-15,-0.00132749,-0.0152286,0.2796704841726318,94.83994566443232,94.81619742310428
PART-SUPPORTBEAM-1,183,SupportBeam/B31,0.0,-10.0,-18.75,-5.7697174e-16,-0.001856417,-0.29488096,3.78512e-16,0.00132749,-0.0152286,0.2796704841726318,94.83994566443232,94.81619742310428
PART-SUPPORTBEAM-2,184,SupportBeam/B31,0.0,10.0,-15.0,2.5022793e-15,0.0015617297,-0.29480067,6.61843e-16,-0.00157002,-0.0162944,0.27852387740640183,94.47738676933986,94.4472195750412
PART-SUPPORTBEAM-1,184,SupportBeam/B31,0.0,-10.0,-15.0,-8.449305e-16,-0.0015617297,-0.29480067,-5.67653e-16,0.00157002,-0.0162944,0.27852387740640183,94.47738676933986,94.4472195750412
PART-SUPPORTBEAM-2,185,SupportBeam/B31,0.0,10.0,-11.25,1.6665194e-15,0.0012674922,-0.29471493,8.06557e-17,-0.00147384,-0.0184441,0.2762844302727167,93.7454628375108,93.7218242258576
PART-SUPPORTBEAM-1,185,SupportBeam/B31,0.0,-10.0,-11.25,-9.924525e-16,-0.0012674922,-0.29471493,-5.33148e-16,0.00147384,-0.0184441,0.2762844302727167,93.7454628375108,93.7218242258576
PART-SUPPORTBEAM-2,170,SupportBeam/B31,7.69231,10.0,-30.0,0.0012876368,0.002742094,-0.29622424,-0.00409372,-0.000129356,-0.0214239,0.274868024859617,92.78567231334051,92.63707973371797
PART-SUPPORTBEAM-2,201,SupportBeam/B31,-7.69231,10.0,-30.0,-0.0012876368,0.002742094,-0.29622424,0.00409372,-0.000129356,-0.0214239,0.274868024859617,92.78567231334051,92.63707973371797
PART-SUPPORTBEAM-1,170,SupportBeam/B31,7.69231,-10.0,-30.0,0.0012876368,-0.002742094,-0.29622424,-0.00409372,0.000129356,-0.0214239,0.274868024859617,92.78567231334051,92.63707973371797
PART-SUPPORTBEAM-1,201,SupportBeam/B31,-7.69231,-10.0,-30.0,-0.0012876368,-0.002742094,-0.29622424,0.00409372,0.000129356,-0.0214239,0.274868024859617,92.78567231334051,92.63707973371797
PART-SUPPORTBEAM-2,186,SupportBeam/B31,0.0,10.0,-7.5,7.309683e-16,0.00097364635,-0.29462373,-1.13972e-15,-0.00124442,-0.0205884,0.2740443064662024,93.01450702683852,92.99925325646115
PART-SUPPORTBEAM-1,186,SupportBeam/B31,0.0,-10.0,-7.5,-9.525197e-16,-0.00097364635,-0.29462373,-7.34772e-16,0.00124442,-0.0205884,0.2740443064662024,93.01450702683852,92.99925325646115
PART-SUPPORTBEAM-2,187,SupportBeam/B31,0.0,10.0,-3.75,-1.5873603e-16,0.0006801343,-0.2945271,-2.51273e-15,-0.000944387,-0.0227272,0.2718047547587498,92.28489672051377,92.27685601071079
PART-SUPPORTBEAM-1,187,SupportBeam/B31,0.0,-10.0,-3.75,-6.581144e-16,-0.0006801343,-0.2945271,-1.5072e-15,0.000944387,-0.0227272,0.2718047547587498,92.28489672051377,92.27685601071079
PART-SUPPORTBEAM-2,10,SupportBeam/B31,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,-3.55769e-15,-0.000636364,-0.0248606,0.26956638213506645,91.55680148370669,91.5534623713769
PART-FLOOR-1,9,Floor/S4R,0.0,10.0,0.0,-8.569555e-16,0.00038689788,-0.29442504,-3.55769e-15,-0.000636364,-0.0248606,0.26956638213506645,91.55680148370669,91.5534623713769
PART-FLOOR-1,10,Floor/S4R,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,-3.17905e-15,0.000636364,-0.0248606,0.26956638213506645,91.55680148370669,91.5534623713769
PART-SUPPORTBEAM-1,10,SupportBeam/B31,0.0,-10.0,0.0,-4.22187e-17,-0.00038689788,-0.29442504,-3.17905e-15,0.000636364,-0.0248606,0.26956638213506645,91.55680148370669,91.5534623713769
PART-SUPPORTBEAM-2,141,SupportBeam/B31,-3.33333,10.0,-2.0,0.001307067,0.0005426483,-0.29469514,-0.00117042,-0.000764725,-0.02804,0.2666698536677896,90.48903169846851,90.47337191775493
PART-SUPPORTBEAM-2,155,SupportBeam/B31,3.33333,10.0,-2.0,-0.001307067,0.0005426483,-0.29469514,0.00117042,-0.000764725,-0.02804,0.2666698536677896,90.48903169846851,90.47337191775493
PART-SUPPORTBEAM-1,141,SupportBeam/B31,-3.33333,-10.0,-2.0,0.001307067,-0.0005426483,-0.29469514,-0.00117042,0.000764725,-0.02804,0.2666698536677896,90.48903169846851,90.47337191775493
PART-SUPPORTBEAM-1,155,SupportBeam/B31,3.33333,-10.0,-2.0,-0.001307067,-0.0005426483,-0.29469514,0.00117042,0.000764725,-0.02804,0.2666698536677896,90.48903169846851,90.47337191775493
