component,count,mean_rel_percent,p50_rel_percent,p90_rel_percent,under_10_percent
Cable/T3D2,40,19.238471645044406,14.249829577377959,38.13720219002369,30.0
Floor/S4R,505,14.80349980071627,4.801013409162995,45.058009100454576,70.4950495049505
Pier/C3D8R,1680,60.74613358895392,41.469874738981375,133.78144448891555,0.9523809523809523
RiverBank/C3D8R,1100,34.76349937004053,25.434604886228495,68.06369156896604,1.0909090909090908
SupportBeam/B31,686,23.025679545481513,8.491777332932697,72.22487606857254,57.142857142857146
